Pvm;Kulutus (Wh)
15.11.2021;53120
16.11.2021;44770
17.11.2021;43870
18.11.2021;45690
19.11.2021;49180
20.11.2021;47890
21.11.2021;58510
22.11.2021;62060
23.11.2021;63650
24.11.2021;53640
25.11.2021;55040
26.11.2021;68470
27.11.2021;83680
28.11.2021;88330
29.11.2021;98580
30.11.2021;89240
1.12.2021;79650
2.12.2021;85290
3.12.2021;91330
4.12.2021;96000
5.12.2021;99020
6.12.2021;99190
7.12.2021;99660
8.12.2021;102460
9.12.2021;123970
10.12.2021;116390
11.12.2021;88440
12.12.2021;76520
13.12.2021;72540
14.12.2021;59530
15.12.2021;59470
16.12.2021;57980
17.12.2021;58560
18.12.2021;64290
19.12.2021;73260
20.12.2021;96310
21.12.2021;108320
22.12.2021;126870
23.12.2021;99360
24.12.2021;103750
25.12.2021;125920
26.12.2021;120420
27.12.2021;100210
28.12.2021;92020
29.12.2021;73160
30.12.2021;73900
31.12.2021;66660
